"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Число умерших(Человек)"	"2013 год"	"201312"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 606"
"Число умерших(Человек)"	"2014 год"	"201412"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 573"
"Число умерших(Человек)"	"2012 год"	"201212"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 628"
"Число умерших(Человек)"	"2021 год"	"202112"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 333"
"Число умерших(Человек)"	"2020 год"	"202012"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 164"
"Число умерших(Человек)"	"2019 год"	"201912"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 570"
"Число умерших(Человек)"	"2018 год"	"201812"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 546"
"Число умерших(Человек)"	"2022 год"	"202212"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 606"
"Число умерших(Человек)"	"2017 год"	"201712"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 406"
"Число умерших(Человек)"	"2023 год"	"202312"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 581"
"Число умерших(Человек)"	"2024 год"	"202412"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 678"
"Число умерших(Человек)"	"2009 год"	"200912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"12 348"
"Число умерших(Человек)"	"2011 год"	"201112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"12 412"
"Число умерших(Человек)"	"2000 год"	"200012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"14 664"
"Число умерших(Человек)"	"2005 год"	"200512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"15 541"
