"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 353"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 371"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 749"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 964"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 080"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"10 355"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"10 813"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"11 979"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"13 205"
"Число зарегистрированных браков(Человек)"	"2000 год"	"200012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"8 564"
"Число зарегистрированных браков(Человек)"	"2005 год"	"200512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"11 241"
"Число зарегистрированных браков(Человек)"	"2002 год"	"200212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"8 843"
"Число зарегистрированных браков(Человек)"	"2001 год"	"200112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"8 408"
"Число зарегистрированных браков(Человек)"	"2007 год"	"200712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"12 246"
"Число зарегистрированных браков(Человек)"	"2003 год"	"200312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"9 720"
"Число зарегистрированных браков(Человек)"	"2008 год"	"200812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"11 428"
