"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Естественный прирост населения(Человек)"	"2004 год"	"200412"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 902"
"Естественный прирост населения(Человек)"	"2011 год"	"201112"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 327"
"Естественный прирост населения(Человек)"	"2014 год"	"201412"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 633"
"Естественный прирост населения(Человек)"	"2015 год"	"201512"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 687"
"Естественный прирост населения(Человек)"	"2013 год"	"201312"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 147"
"Естественный прирост населения(Человек)"	"2012 год"	"201212"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 430"
"Естественный прирост населения(Человек)"	"2021 год"	"202112"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 284"
"Естественный прирост населения(Человек)"	"2018 год"	"201812"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 237"
"Естественный прирост населения(Человек)"	"2022 год"	"202212"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 898"
"Естественный прирост населения(Человек)"	"2019 год"	"201912"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 703"
"Естественный прирост населения(Человек)"	"2020 год"	"202012"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 759"
"Естественный прирост населения(Человек)"	"2017 год"	"201712"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 741"
"Естественный прирост населения(Человек)"	"2023 год"	"202312"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 118"
"Естественный прирост населения(Человек)"	"2024 год"	"202412"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 636"
"Естественный прирост населения(Человек)"	"2009 год"	"200912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 632"
"Естественный прирост населения(Человек)"	"2016 год"	"201612"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 119"
"Естественный прирост населения(Человек)"	"2010 год"	"201012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 511"
"Естественный прирост населения(Человек)"	"2000 год"	"200012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"-753"
"Естественный прирост населения(Человек)"	"2005 год"	"200512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 757"
"Естественный прирост населения(Человек)"	"2002 год"	"200212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"-72"
"Естественный прирост населения(Человек)"	"2001 год"	"200112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"-281"
"Естественный прирост населения(Человек)"	"2007 год"	"200712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 208"
"Естественный прирост населения(Человек)"	"2003 год"	"200312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 278"
"Естественный прирост населения(Человек)"	"2008 год"	"200812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 718"
"Естественный прирост населения(Человек)"	"2006 год"	"200612"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 064"
"Естественный прирост населения(Человек)"	"2004 год"	"200412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 057"
"Естественный прирост населения(Человек)"	"2011 год"	"201112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 680"
"Естественный прирост населения(Человек)"	"2014 год"	"201412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 676"
"Естественный прирост населения(Человек)"	"2015 год"	"201512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 424"
"Естественный прирост населения(Человек)"	"2013 год"	"201312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 955"
"Естественный прирост населения(Человек)"	"2012 год"	"201212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 472"
"Естественный прирост населения(Человек)"	"2021 год"	"202112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 305"
"Естественный прирост населения(Человек)"	"2018 год"	"201812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 388"
"Естественный прирост населения(Человек)"	"2022 год"	"202212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 972"
"Естественный прирост населения(Человек)"	"2019 год"	"201912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 275"
"Естественный прирост населения(Человек)"	"2020 год"	"202012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 840"
"Естественный прирост населения(Человек)"	"2017 год"	"201712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 161"
"Естественный прирост населения(Человек)"	"2023 год"	"202312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 292"
"Естественный прирост населения(Человек)"	"2024 год"	"202412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 485"
"Естественный прирост населения(Человек)"	"2009 год"	"200912"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 136"
"Естественный прирост населения(Человек)"	"2016 год"	"201612"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 987"
"Естественный прирост населения(Человек)"	"2010 год"	"201012"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 942"
"Естественный прирост населения(Человек)"	"2000 год"	"200012"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 101"
"Естественный прирост населения(Человек)"	"2005 год"	"200512"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 851"
"Естественный прирост населения(Человек)"	"2002 год"	"200212"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 956"
"Естественный прирост населения(Человек)"	"2001 год"	"200112"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 527"
"Естественный прирост населения(Человек)"	"2007 год"	"200712"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 127"
"Естественный прирост населения(Человек)"	"2003 год"	"200312"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 844"
"Естественный прирост населения(Человек)"	"2008 год"	"200812"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 518"
"Естественный прирост населения(Человек)"	"2006 год"	"200612"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 424"
"Естественный прирост населения(Человек)"	"2004 год"	"200412"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 355"
"Естественный прирост населения(Человек)"	"2011 год"	"201112"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 464"
"Естественный прирост населения(Человек)"	"2014 год"	"201412"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 896"
"Естественный прирост населения(Человек)"	"2015 год"	"201512"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 987"
"Естественный прирост населения(Человек)"	"2013 год"	"201312"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 540"
"Естественный прирост населения(Человек)"	"2012 год"	"201212"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 931"
"Естественный прирост населения(Человек)"	"2021 год"	"202112"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 087"
"Естественный прирост населения(Человек)"	"2018 год"	"201812"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 179"
"Естественный прирост населения(Человек)"	"2022 год"	"202212"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 035"
"Естественный прирост населения(Человек)"	"2019 год"	"201912"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 344"
"Естественный прирост населения(Человек)"	"2020 год"	"202012"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"8 387"
"Естественный прирост населения(Человек)"	"2017 год"	"201712"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 480"
"Естественный прирост населения(Человек)"	"2023 год"	"202312"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 559"
"Естественный прирост населения(Человек)"	"2024 год"	"202412"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 641"
"Естественный прирост населения(Человек)"	"2009 год"	"200912"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"10 513"
"Естественный прирост населения(Человек)"	"2016 год"	"201612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"14 122"
"Естественный прирост населения(Человек)"	"2010 год"	"201012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"11 210"
"Естественный прирост населения(Человек)"	"2000 год"	"200012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"3 053"
"Естественный прирост населения(Человек)"	"2005 год"	"200512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 463"
"Естественный прирост населения(Человек)"	"2002 год"	"200212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"3 115"
"Естественный прирост населения(Человек)"	"2001 год"	"200112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"2 918"
"Естественный прирост населения(Человек)"	"2007 год"	"200712"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"7 747"
"Естественный прирост населения(Человек)"	"2003 год"	"200312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"3 963"
"Естественный прирост населения(Человек)"	"2008 год"	"200812"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"9 688"
"Естественный прирост населения(Человек)"	"2006 год"	"200612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 992"
"Естественный прирост населения(Человек)"	"2004 год"	"200412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 613"
"Естественный прирост населения(Человек)"	"2011 год"	"201112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"12 059"
"Естественный прирост населения(Человек)"	"2014 год"	"201412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"14 064"
"Естественный прирост населения(Человек)"	"2015 год"	"201512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"14 426"
"Естественный прирост населения(Человек)"	"2013 год"	"201312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"13 189"
"Естественный прирост населения(Человек)"	"2012 год"	"201212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"12 246"
"Естественный прирост населения(Человек)"	"2021 год"	"202112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"14 451"
"Естественный прирост населения(Человек)"	"2018 год"	"201812"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"14 045"
"Естественный прирост населения(Человек)"	"2022 год"	"202212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"13 659"
